#od do pocet min kmh
Praha
370 376 0 0 0 "D1 376..370km smer Praha"
365 370 0 0 0 "D1 370..365km smer Praha"
361 365 0 0 0 "D1 365..361km smer Praha"
357 361 0 0 0 "D1 361..357km smer Praha"
354 357 392 3762.13 18.7553 "D1 357..354km smer Praha"
349 354 2882 7717.54 112.031 "D1 354..349km smer Praha"
342 349 2441 8911.93 115.039 "D1 349..342km smer Praha"
336 342 2036 6587.3 111.269 "D1 342..336km smer Praha"
330 336 1610 5375.87 107.815 "D1 336..330km smer Praha"
321 330 1172 5993.94 105.587 "D1 330..321km smer Praha"
311 321 1072 6338.07 101.482 "D1 321..311km smer Praha"
308 311 1932 3796.78 91.5933 "D1 311..308km smer Praha"
265 308 1078 21887.1 127.072 "D1 308..265km smer Praha"
260 265 574 1354.25 127.156 "D1 265..260km smer Praha"
258 260 554 534.514 124.375 "D1 260..258km smer Praha"
253 258 504 1210.72 124.884 "D1 258..253km smer Praha"
244 253 730 3112.69 126.643 "D1 253..244km smer Praha"
236 244 504 1928.79 125.426 "D1 244..236km smer Praha"
230 236 288 827.44 125.302 "D1 236..230km smer Praha"
226 230 248 464.743 128.071 "D1 230..226km smer Praha"
220 226 188 582.626 116.164 "D1 226..220km smer Praha"
216 220 148 287.855 123.396 "D1 220..216km smer Praha"
213 216 118 183.819 115.549 "D1 216..213km smer Praha"
210 213 88 179.166 88.4098 "D1 213..210km smer Praha"
203 210 18 61.0973 123.737 "D1 210..203km smer Praha"
201 203 43 139.325 37.0356 "D1 203..201km smer Praha"
196 201 64 1066.94 17.9954 "D1 201..196km smer Praha"
194 196 135 2033.36 7.96712 "D1 196..194km smer Praha"
190 194 943 6933.78 32.6402 "D1 194..190km smer Praha"
182 190 3438 14067.5 117.309 "D1 190..182km smer Praha"
178 182 2777 5271.67 126.427 "D1 182..178km smer Praha"
168 178 2171 10278.9 126.726 "D1 178..168km smer Praha"
162 168 1581 4484.45 126.918 "D1 168..162km smer Praha"
153 162 997 4259.71 126.389 "D1 162..153km smer Praha"
146 153 982 3275.91 125.901 "D1 153..146km smer Praha"
141 146 968 2315.82 125.398 "D1 146..141km smer Praha"
134 141 945 3150.06 125.998 "D1 141..134km smer Praha"
119 134 887 6817.57 117.095 "D1 134..119km smer Praha"
112 119 857 2833.05 127.05 "D1 119..112km smer Praha"
104 112 1635 6161.71 127.367 "D1 112..104km smer Praha"
90 104 654 4316.86 127.259 "D1 104..90km smer Praha"
81 90 1756 7526.2 125.992 "D1 90..81km smer Praha"
75 81 1428 4124.87 124.629 "D1 81..75km smer Praha"
66 75 1130 4807.67 126.922 "D1 75..66km smer Praha"
56 66 807 4169.26 116.136 "D1 66..56km smer Praha"
49 56 530 1881.48 118.311 "D1 56..49km smer Praha"
41 49 290 1106.05 125.853 "D1 49..41km smer Praha"
34 41 220 723.091 127.785 "D1 41..34km smer Praha"
29 34 170 406.893 125.34 "D1 34..29km smer Praha"
21 29 90 330.708 130.629 "D1 29..21km smer Praha"
15 21 30 82.2217 131.352 "D1 21..15km smer Praha"
12 15 0 0 0 "D1 15..12km smer Praha"
10 12 14 400.917 4.19039 "D1 12..10km smer Praha"
8 10 38 671.676 6.78899 "D1 10..8km smer Praha"
6 8 206 3027.07 8.16631 "D1 8..6km smer Praha"
2 6 3772 7142.12 126.752 "D1 6..2km smer Praha"
0 2 1860 1776.13 125.667 "D1 2..0km smer Praha"


#od do pocet min kmh
Olomouc
0 2 0 0 0 "D1 0..2km smer Olomouc"
2 6 0 0 0 "D1 2..6km smer Olomouc"
6 8 124 1342.7 11.0822 "D1 6..8km smer Olomouc"
8 10 680 1943.42 41.9879 "D1 8..10km smer Olomouc"
10 12 1746 2086.09 100.437 "D1 10..12km smer Olomouc"
12 15 1833 3069.62 107.486 "D1 12..15km smer Olomouc"
15 21 1773 5837.87 109.334 "D1 15..21km smer Olomouc"
21 29 1932 7565.71 122.574 "D1 21..29km smer Olomouc"
29 34 1803 4464.93 121.144 "D1 29..34km smer Olomouc"
34 41 1663 5867.82 119.032 "D1 34..41km smer Olomouc"
41 49 1502 6404.74 112.567 "D1 41..49km smer Olomouc"
49 56 1432 5553.24 108.304 "D1 49..56km smer Olomouc"
56 66 1332 7290.94 109.616 "D1 56..66km smer Olomouc"
66 75 1242 5896.99 113.733 "D1 66..75km smer Olomouc"
75 81 1182 3822.49 111.32 "D1 75..81km smer Olomouc"
81 90 1092 5335.09 110.529 "D1 81..90km smer Olomouc"
90 104 952 7509.89 106.484 "D1 90..104km smer Olomouc"
104 112 872 4146.45 100.944 "D1 104..112km smer Olomouc"
112 119 1257 4194.18 125.874 "D1 112..119km smer Olomouc"
119 134 652 4595.84 127.681 "D1 119..134km smer Olomouc"
134 141 524 1727.7 127.383 "D1 134..141km smer Olomouc"
141 146 474 1106.04 128.567 "D1 141..146km smer Olomouc"
146 153 404 1341.55 126.481 "D1 146..153km smer Olomouc"
153 162 288 1194.49 130.198 "D1 153..162km smer Olomouc"
162 168 228 648.577 126.554 "D1 162..168km smer Olomouc"
168 178 128 595.534 128.96 "D1 168..178km smer Olomouc"
178 182 88 181.679 116.249 "D1 178..182km smer Olomouc"
182 190 8 31.263 122.829 "D1 182..190km smer Olomouc"
190 194 93 1469.43 15.1895 "D1 190..194km smer Olomouc"
194 196 192 2204.77 10.4501 "D1 194..196km smer Olomouc"
196 201 818 8360.29 29.3531 "D1 196..201km smer Olomouc"
201 203 2354 3545.69 79.6685 "D1 201..203km smer Olomouc"
203 210 3402 12256.3 116.58 "D1 203..210km smer Olomouc"
210 213 2365 3993.38 106.602 "D1 210..213km smer Olomouc"
213 216 2342 3328.75 126.642 "D1 213..216km smer Olomouc"
216 226 1301 6160.74 126.706 "D1 216..226km smer Olomouc"
226 230 1607 3284.38 117.429 "D1 226..230km smer Olomouc"
230 236 1871 5306.45 126.932 "D1 230..236km smer Olomouc"
236 244 1538 5807.03 127.129 "D1 236..244km smer Olomouc"
244 253 1209 5142.87 126.945 "D1 244..253km smer Olomouc"
253 258 1712 4037.68 127.202 "D1 253..258km smer Olomouc"
258 260 1436 1362.18 126.504 "D1 258..260km smer Olomouc"
260 265 1159 2751.07 126.387 "D1 260..265km smer Olomouc"
265 308 822 17005.2 124.713 "D1 265..308km smer Olomouc"
308 311 792 1675.25 85.0978 "D1 308..311km smer Olomouc"
311 321 1865 10967.2 102.031 "D1 311..321km smer Olomouc"
321 330 1775 9558.22 100.28 "D1 321..330km smer Olomouc"
330 336 633 4085.54 55.7772 "D1 330..336km smer Olomouc"
336 342 573 4295.42 48.0232 "D1 336..342km smer Olomouc"
342 349 503 5557.03 38.0167 "D1 342..349km smer Olomouc"
349 354 453 4359.42 31.1739 "D1 349..354km smer Olomouc"
354 357 1875 4306.31 78.3734 "D1 354..357km smer Olomouc"
357 361 3589 6787.25 126.909 "D1 357..361km smer Olomouc"
361 365 2806 5313.25 126.747 "D1 361..365km smer Olomouc"
365 370 1980 4693.79 126.55 "D1 365..370km smer Olomouc"
370 376 1177 3345.85 126.641 "D1 370..376km smer Olomouc"


